author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,VTL,,,,,
1055221626,2017-03-17 05:11:59+00:00, ,8.42604E+17,en,1,0,0,2, ,#flightdeal #businessclass Alexandria to Singapore $1071 RT with Qatar Airways https://t.co/cJJIOVCpIa All deals https://t.co/ob7lLxPVSD,VTL,,,,,
327802165,2017-03-09 14:12:47+00:00, ,8.39841E+17,en,0,0,0,3, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $914 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://‚Ä?,VTL,,,,,
7.13449E+17,2017-03-09 13:34:24+00:00, ,8.39832E+17,en,0,0,0,3, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $914 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://‚Ä?,VTL,,,,,
1055221626,2017-03-09 13:13:28+00:00, ,8.39826E+17,en,1,0,0,3, ,#flightdeal #businessclass Alexandria to Singapore $914 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-03-04 15:25:05+00:00, ,8.38048E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Singapore to Melbourne $855 RT with Scoot https://t.co/Nr11efCj71 All deals https://t.co/ob7l‚Ä?,VTL,,,,,
1055221626,2017-03-04 14:20:42+00:00, ,8.38031E+17,en,1,0,0,2, ,#flightdeal #businessclass Singapore to Melbourne $855 RT with Scoot https://t.co/Nr11efCj71 All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-03-04 11:45:30+00:00, ,8.37992E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Oslo to Wellington $2596 RT with Singapore Airlines https://t.co/iLpRJK53WK All deals https:/‚Ä?,VTL,,,,,
1055221626,2017-03-04 07:11:39+00:00, ,8.37923E+17,en,1,0,0,2, ,#flightdeal #businessclass Oslo to Wellington $2596 RT with Singapore Airlines https://t.co/iLpRJK53WK All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-03-02 11:28:44+00:00, ,8.37263E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $852 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://‚Ä?,VTL,,,,,
7.13449E+17,2017-03-02 11:28:21+00:00, ,8.37263E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Stockholm to Auckland $2415 RT with Singapore Airlines https://t.co/X0FZaXaRZh All deals http‚Ä?,VTL,,,,,
1055221626,2017-03-02 06:33:33+00:00, ,8.37189E+17,en,1,0,0,2, ,#flightdeal #businessclass Stockholm to Auckland $2415 RT with Singapore Airlines https://t.co/X0FZaXaRZh All deals https://t.co/ob7lLy7xhd,VTL,,,,,
1055221626,2017-03-02 06:27:32+00:00, ,8.37188E+17,en,1,0,0,2, ,#flightdeal #businessclass Alexandria to Singapore $852 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://t.co/ob7lLy7xhd,VTL,,,,,
3572484733,2017-04-22 13:02:35+00:00, ,8.55769E+17,en,0,0,0,0, ,4/4 Barclays-Merchant-Bank-Singapore-Holdings  #SINTEX #VTL #SHILPAMED #MANAPPURAM #INDOCO https://t.co/DRlOmqwXUm,VTL,,,,,
3572484733,2017-07-09 05:07:07+00:00, ,8.83915E+17,en,0,0,0,0, ,3/3 Barclays-Merchant-Bank-Singapore-Holdings  #VTL #SHILPAMED #INDOCO https://t.co/DRlOmqwXUm,VTL,,,,,
15656849,2018-04-05 15:18:21+00:00, ,9.81914E+17,en,0,0,0,0, ,"""AWS Storage Gateway VTL (Tape Gateway) is available in Asia Pacific (Singapore) Region"" https://t.co/kLlbcFaPgw",VTL,,,,,
1625110476,2018-04-05 07:09:41+00:00, ,9.81791E+17,en,0,0,0,0, ,"AWS Storage Gateway VTL (Tape Gateway) is available in Asia Pacific (Singapore) Region https://t.co/tf6mKv7rDC April 5, 2018 at 01:12AM",VTL,,,,,
7.81901E+17,2018-04-05 02:44:54+00:00, ,9.81724E+17,en,0,0,0,0, ,Amazon: AWS Storage Gateway VTL (Tape Gateway) is available in Asia Pacific (Singapore) Region - https://t.co/p7SgkPyONK,VTL,,,,,
20172062,2018-04-05 00:04:44+00:00, ,9.81684E+17,en,0,0,0,0, ,AWS Storage Gateway VTL (Tape Gateway) is available in Asia Pacific (Singapore) Region,VTL,,,,,
7.48838E+17,2018-04-04 23:17:25+00:00, ,9.81672E+17,en,0,0,0,0, ,"Tape Gateway in Singapore

You can now backup to AWS in the Asia Pacific (Singapore) region using the Tape Gateway virtual tape library (VTL) configuration of AWS Storage Gateway. Tape Gateway emulates a physical tape library, so instead of backing up to‚Ä?https://t.co/K7PW959lWX",VTL,,,,,
437798374,2021-08-29 17:00:55+00:00, ,1.43203E+18,en,0,0,0,0, ,"#Singapore has opened a new Vaccinated Travel Lane (VTL) for travelers from Brunei and Germany. Continue here: https://t.co/IjFQzichoZ

#COVID19News #COVID19Updates",VTL,,,,,
2215392157,2021-08-29 14:58:17+00:00, ,1.43199E+18,en,3,0,1,0, ,The VTL between #Singapore &amp; #Germany is getting lots of people excited about long haul travel again. Here is a great rundown of all the requirements on both sides #covidtravel #vtl  https://t.co/fGc2f7zC9P,VTL,,,,,
437798374,2021-08-29 01:00:20+00:00, ,1.43178E+18,en,0,0,0,0, ,"#Singapore has opened a new Vaccinated Travel Lane (VTL) for travelers from Brunei and Germany. More here: https://t.co/IjFQzichoZ

#COVID19News #COVID19Updates",VTL,,,,,
437798374,2021-08-28 03:00:14+00:00, ,1.43145E+18,en,0,0,0,0, ,"#Singapore has opened a new Vaccinated Travel Lane (VTL) for travelers from Brunei and Germany. Details: https://t.co/IjFQzichoZ

#COVID19News #COVID19Updates",VTL,,,,,
618758183,2021-08-27 13:25:21+00:00, ,1.43125E+18,en,0,0,0,1, ,RT @AviationNews: German carrier #Lufthansa says demand for #flights to #Singapore has tripled since a vaccinated travel lane was announced‚Ä?,VTL,,,,,
514058771,2021-08-27 13:23:07+00:00, ,1.43125E+18,en,0,0,0,1, ,"RT @27saurabhsinha: New term during Covid: Vaccinated Travel Lane or VTL

@lufthansa says quarantine-free entry to Singapore for fully jabb‚Ä?
404195723,2021-08-27 13:22:08+00:00, ,1431245647949217796,en,1,0,0,1, ,German carrier #Lufthansa says demand for #flights to #Singapore has tripled since a vaccinated travel lane was announced between the two countries #VTL",VTL,,,,,
96186676,2021-08-27 12:12:29+00:00, ,1.43123E+18,en,1,0,0,0, ,Singapore Germany: #VTL flights by #SQ from 07./08. September ex #Frankfurt flight #SQ325 operating 3x weekly and ex #Munich flight #SQ331 which operates 2x weekly #YourSingapore #VisitSingapore #Spore #Singapur #Singapore https://t.co/1fXannhNTv,VTL,,,,,
1352151552,2021-08-27 11:32:53+00:00, ,1.43122E+18,en,3,0,0,1, ,"New term during Covid: Vaccinated Travel Lane or VTL

@lufthansa says quarantine-free entry to Singapore for fully jabbed if travel begins in Germany on VTL flights

LH &amp; @SingaporeAir will jointly offer a daily VTL flight, either from @Airport_FRA or @MUC_Airport , from Sept 16 https://t.co/Bkrz4eMoXw",VTL,,,,,
